id,name,type,category,status,owner,automated,schedule,platform,url,tags,coverage_areas,checks_performed,notes,last_updated
1,Site Health Monitor,Check,Monitoring,Active,DPO Team,Yes,Every 30 min,GitHub Actions + Selenium,,uptime|selenium|pdp|plp|homepage,Homepage|Mens PLP|Womens PLP|Mens Apparel PLP|Womens Apparel PLP|Ghost 16 PDP|Adrenaline PDP|Account Login|Account Registration|Cart|Search|Shoe Finder,HTTP status check|Keyword validation|Response time measurement|Bot-bypass headless render,12 URLs monitored. Results appended to results.csv. Headless Chrome with CDP stealth patches.,2026-03-08
2,DPO Site Health Dashboard,Dashboard,Monitoring,Active,DPO Team,Yes,Auto-refreshes every 60s,GitHub Pages,,dashboard|github-pages|kpi,All monitored URLs,KPI band|Per-page status cards|Uptime history dots|Filterable check history,Reads results.csv directly. No build step. Hosted on GitHub Pages.,2026-03-08
3,LogicMonitor Site Checks,Check,Monitoring,Active,Platform Team,Yes,Every 5 min,LogicMonitor,,logicmonitor|uptime|synthetic,Homepage|Checkout|Account|CDN endpoints|API health,HTTP uptime check|Response time SLA|SSL certificate expiry|CDN availability|API response check,Primary uptime monitoring platform. Alerts fire to PagerDuty on threshold breach. SLA tracked monthly.,2026-03-08
4,LogicMonitor Alerting,Tool,Alerting,Active,Platform Team,Yes,Real-time,LogicMonitor + PagerDuty,,alerting|pagerduty|oncall,All LogicMonitor checks,Threshold-based alerting|PagerDuty escalation|On-call rotation|SMS and email notify,P1 alerts page on-call within 2 min. P2 alerts email team. Weekly alert review cadence.,2026-03-08
5,GitHub Actions Smoke Tests,Check,Testing,Active,DPO Team,Yes,On every deploy + daily 6am,GitHub Actions,,smoke-tests|ci|deploy|regression,Homepage|PDP|PLP|Cart|Checkout|Search,Page load assertion|Element visibility check|Add-to-cart flow|Search result validation|Checkout render check,Blocks deploy if smoke tests fail. Daily run catches overnight regressions.,2026-03-08
6,GitHub Actions Link Checker,Check,Testing,Active,DPO Team,Yes,Daily 7am,GitHub Actions,,broken-links|seo|ci,Full site crawl up to 500 URLs,Broken link detection|404 identification|Redirect chain check,Crawls brooksrunning.com and reports broken links to Slack. Excludes external domains.,2026-03-08
7,GitHub Actions Performance Budget,Check,Performance,In Development,DPO Team,Yes,On every deploy,GitHub Actions + Lighthouse CI,,performance|lighthouse|core-web-vitals,Homepage|Key PLP|Key PDP,Lighthouse score gate|LCP check|CLS check|INP check|Bundle size budget,In development. Will gate deploys on Lighthouse score drop. Targeting LCP under 2.5s.,2026-03-08
8,Tool Inventory Dashboard,Dashboard,Operations,Active,DPO Team,No,Manual,GitHub Pages,,inventory|stakeholders|ops,All DPO tools and checks,CRUD inventory management|CSV export|Flat-file report download|Category and status filtering,Single HTML file. Data in inventory.csv. Screenshot-friendly for stakeholder comms.,2026-03-08
9,Akamai Bot Manager,Tool,Security,Active,Platform Team,Yes,Continuous,Akamai,,cdn|bot-protection|waf|akamai,All brooksrunning.com traffic,Bot traffic detection|WAF rule enforcement|Rate limiting|DDoS mitigation,Managed by Platform team. Rules reviewed quarterly. DPO team coordinates on changes affecting automated checks.,2026-03-08
10,Akamai mPulse RUM,Check,Performance,Active,Platform Team,Yes,Continuous real-user,Akamai mPulse,,rum|real-user-monitoring|performance,All pages real user data,Real user LCP|Real user CLS|Real user TTFB|Bounce rate by performance segment|Geo performance breakdown,Real-user monitoring. Complements synthetic checks. Monthly report shared with stakeholders.,2026-03-08
11,Datadog APM,Tool,Monitoring,Active,Engineering,Yes,Continuous,Datadog,,apm|tracing|errors|backend,API layer|Checkout service|Search service|Account service|Product catalog,Distributed tracing|Error rate tracking|Latency p95 and p99|Service dependency map|Anomaly detection,Backend APM owned by Engineering. DPO team has read access for incident investigation.,2026-03-08
12,Datadog Synthetics,Check,Monitoring,Active,Engineering,Yes,Every 10 min,Datadog,,synthetics|datadog|checkout|critical-path,Checkout flow|Login flow|Search flow,Multi-step browser test|Transaction time tracking|Screenshot on failure|Alert on deviation,Critical path synthetic monitoring. Owned by Engineering. Results shared in team Slack.,2026-03-08
13,Datadog Log Management,Tool,Observability,Active,Engineering,Yes,Continuous,Datadog,,logs|observability|errors|backend,Application logs|Server logs|CDN logs|Error logs,Log aggregation|Error pattern detection|Search and filter|Retention policy enforcement,Centralised log management. DPO team uses for incident triage. 30-day retention.,2026-03-08
14,Splunk SIEM,Tool,Security,Active,InfoSec,Yes,Continuous,Splunk,,siem|security|compliance|access-logs,All application and infrastructure access logs,Security event correlation|Anomaly detection|Compliance reporting|Access log audit,Owned by InfoSec. DPO team notified on anomalies affecting commerce flows.,2026-03-08
15,New Relic Browser,Check,Performance,Active,Engineering,Yes,Continuous real-user,New Relic,,browser|javascript-errors|rum|frontend,All brooksrunning.com pages,JS error rate tracking|AJAX error monitoring|Page load breakdown|Session traces,Frontend error monitoring. Catches JS exceptions in production. Weekly JS error review with Engineering.,2026-03-08
16,Pingdom Transaction Monitor,Check,Monitoring,Active,Platform Team,Yes,Every 15 min,Pingdom,,pingdom|transaction|checkout|uptime,Checkout transaction|Account login transaction,End-to-end transaction check|Uptime alerting|Response time trend|Multi-location check,Runs from 3 global locations. Alerts on transaction failure. Backup to LogicMonitor checks.,2026-03-08
17,SSL Certificate Monitor,Check,Security,Active,Platform Team,Yes,Daily,LogicMonitor,,ssl|certificate|expiry|security,brooksrunning.com|api.brooksrunning.com|assets CDN,SSL expiry check|Certificate chain validation|HTTPS redirect check,Alerts 30 and 7 days before expiry. Auto-renewal via Let us Encrypt where applicable.,2026-03-08
18,CDN Performance Check,Check,Performance,Active,Platform Team,Yes,Every 15 min,Akamai + LogicMonitor,,cdn|akamai|assets|performance,Global CDN nodes|Image assets|JS and CSS bundles,Cache hit rate check|Edge node availability|Asset load time|Origin pull rate,Monitors Akamai edge performance. Cache hit target over 90%. Alerts on origin pull spike.,2026-03-08
19,Search Availability Check,Check,Monitoring,Active,DPO Team,Yes,Every 30 min,GitHub Actions + Selenium,,search|elasticsearch|site-search,Site search endpoint|Search results page|Zero results rate,Search endpoint availability|Result count validation|Zero results detection|Spell-suggest check,Part of Site Health Monitor suite. Validates search returns results for known queries.,2026-03-08
20,Checkout Funnel Monitor,Check,Commerce,Active,DPO Team,Yes,Every 30 min,GitHub Actions + Selenium,,checkout|cart|commerce|critical,Cart page|Checkout step 1|Order confirmation,Cart render check|Checkout page availability|Add to cart keyword validation|Payment form presence,Critical commerce path. Any failure triggers immediate Slack alert to DPO and Commerce teams.,2026-03-08
21,Google Search Console Monitoring,Check,SEO,Active,SEO Team,No,Weekly manual review,Google Search Console,,seo|crawl|indexing|google,All indexed pages,Crawl error review|Index coverage check|Core Web Vitals field data|Manual actions check,Weekly review by SEO team. DPO team alerted on crawl error spikes or manual actions.,2026-03-08
22,GA4 Data Quality Check,Check,Analytics,In Development,Analytics Team,Yes,Daily 8am,GitHub Actions + GA4 API,,analytics|ga4|data-quality|tracking,Homepage|PDP|PLP|Cart|Checkout|Account,Page view event validation|Add to cart event check|Purchase event validation|Session data completeness,In development. Will alert on significant drop in tracked events indicating tag breakage.,2026-03-08
23,Incident Runbook Library,Tool,Operations,Active,DPO Team,No,On-demand,Confluence,,runbook|incident|operations|documentation,All site systems and checks,Documented response procedures|Escalation contacts|Recovery steps|Post-mortem templates,Living documentation. Runbooks exist for all P1 and P2 scenarios. Review after each incident.,2026-03-08
24,PagerDuty On-Call Rotation,Tool,Alerting,Active,Platform Team,Yes,Continuous,PagerDuty,,pagerduty|oncall|alerting|escalation,All monitored systems,Alert routing|On-call scheduling|Escalation policy|Incident timeline,Receives alerts from LogicMonitor and Datadog. 24/7 on-call rotation. Escalation to Eng Manager after 10 min no-acknowledge.,2026-03-08
25,Slack Ops Alerting Channel,Tool,Alerting,Active,DPO Team,Yes,Real-time,Slack + GitHub Actions + Datadog,,slack|alerting|notifications|team,All automated checks and monitors,Real-time alert delivery|Check failure notifications|Deploy status updates|Daily summary digest,#dpo-site-alerts channel. All automated check failures post here. Daily 9am digest of overnight checks.,2026-03-08
26,Status Page,Tool,Operations,Planned,Platform Team,No,Manual updates,Statuspage.io,,status-page|external|transparency|incidents,All customer-facing services,Public incident communication|Scheduled maintenance notices|Historical uptime display,Planned. Will provide external transparency on site status. Integrate with PagerDuty for auto-updates.,2026-03-08
27,Accessibility Audit,Check,Quality,Active,DPO Team,No,Quarterly,Axe + Manual Review,,accessibility|a11y|wcag|compliance,Homepage|PLP|PDP|Checkout|Account,WCAG 2.1 AA compliance|Screen reader compatibility|Keyboard navigation|Colour contrast check,Quarterly automated scan plus manual review. Results reported to Product and Engineering leads.,2026-03-08
28,Third-Party Tag Audit,Check,Performance,Active,DPO Team,No,Monthly,Manual + Chrome DevTools,,tags|third-party|performance|gtm,All pages via GTM,Tag inventory review|Tag firing validation|Page weight impact|Consent compliance check,Monthly review of GTM container. Ensures no orphaned or duplicate tags affecting performance.,2026-03-08
29,SSL Certificate Monitoring,Tool,Security,Active,DPO Team,Yes,Daily,GitHub Actions,,ssl|certificate|expiry|github,brooksrunning.com|api.brooksrunning.com|cdn.brooksrunning.com,SSL expiry check|Days-to-expiry alert|Certificate chain validation|HTTPS redirect check,GitHub Actions workflow. Alerts team Slack channel 30 and 7 days before expiry. Auto-created issue on breach.,2026-03-08
30,SSL Expiration Monitoring,Tool,Security,Active,Platform Team,Yes,Daily,LogicMonitor,,ssl|certificate|logicmonitor|expiry,All production and staging domains,SSL expiry monitoring|Certificate validity check|Multi-domain coverage|PagerDuty alert on critical threshold,LogicMonitor native SSL check. Complements GitHub Actions check. PagerDuty alert when under 14 days.,2026-03-08
31,Site Monitoring Dashboard for URLs,Dashboard,Monitoring,Active,DPO Team,Yes,Auto-refreshes every 60s,GitHub Pages,,dashboard|urls|uptime|github-pages,Homepage|PDP|PLP|Account|Cart|Search|Shoe Finder,URL availability display|Response time trend|Uptime history|KPI summary|Per-page status cards,Hosted on GitHub Pages. Reads results.csv from repo. No build step required. Screenshot-friendly.,2026-03-08
32,Jira Release Dashboard,Dashboard,Operations,Active,DPO Team,No,Manual,GitHub Pages,,jira|release|dashboard|github-pages,Release tracking|Sprint planning|Deploy coordination,Release ticket tracking|Deployment status display|Release notes aggregation|Environment flag status,Hosted on GitHub Pages. Provides release visibility across teams. Updated per release cycle.,2026-03-08
33,SFCC and Jira Flag Dashboard,Dashboard,Operations,Active,DPO Team,No,Manual,GitHub Pages,,sfcc|jira|flags|feature-flags|dashboard,SFCC feature flags|Jira release tickets|Environment configuration,Feature flag status display|SFCC job status|Jira ticket linkage|Environment diff view,Tracks SFCC custom preference flags alongside Jira release tickets. Helps coordinate deploys and flag states.,2026-03-08
